Time,Force
0,0
0.050000001,0.284338236
0.100000001,0.530589283
0.150000006,0.749150991
0.200000003,0.947556913
0.25,1.13133359
0.300000012,1.304656386
0.349999994,1.470672607
0.400000006,1.631853223
0.449999988,1.79017663
0.5,1.947268724
0.550000012,2.104511499
0.600000024,2.263120174
0.649999976,2.424201012
0.699999988,2.588801384
0.75,2.75794363
0.800000012,2.932655811
0.850000024,3.113999367
0.899999976,3.303097248
0.949999988,3.50115037
1,3.709462643
